time_utc,azimuth_deg,elevation_deg,range_km,radial_velocity_km_s,doppler_hz,fspl_db,received_power_dbm,noise_power_dbm,cn_db,satellite_latitude_deg,satellite_longitude_deg,satellite_altitude_km
2025-01-10T08:55:15.000Z,12.935143,0.034024,3407.104492,-6.633688832,3051.673,145.879782,-105.729782,-126.290032,20.560250,64.684056,46.651931,856.507940
2025-01-10T08:55:16.000Z,12.939006,0.093355,3400.470803,-6.633711685,3051.684,145.862854,-105.712854,-126.290032,20.577178,64.629179,46.598629,856.487113
2025-01-10T08:55:17.000Z,12.942868,0.152802,3393.837069,-6.633753822,3051.703,145.845892,-105.695892,-126.290032,20.594139,64.574285,46.545524,856.466269
2025-01-10T08:55:18.000Z,12.946729,0.212366,3387.203296,-6.633788784,3051.719,145.828898,-105.678898,-126.290032,20.611134,64.519375,46.492615,856.445410
2025-01-10T08:55:19.000Z,12.950588,0.272046,3380.569491,-6.633816528,3051.732,145.811870,-105.661870,-126.290032,20.628162,64.464448,46.439901,856.424534
2025-01-10T08:55:20.000Z,12.954445,0.331845,3373.935662,-6.633837011,3051.741,145.794809,-105.644809,-126.290032,20.645223,64.409504,46.387382,856.403643
2025-01-10T08:55:21.000Z,12.958301,0.391763,3367.301817,-6.633983638,3051.809,145.777714,-105.627714,-126.290032,20.662318,64.354544,46.335055,856.382735
2025-01-10T08:55:22.000Z,12.962156,0.451802,3360.667695,-6.633989475,3051.812,145.760584,-105.610584,-126.290032,20.679448,64.299565,46.282918,856.361812
2025-01-10T08:55:23.000Z,12.966009,0.511959,3354.033838,-6.633854466,3051.749,145.743421,-105.593421,-126.290032,20.696610,64.244572,46.230973,856.340873
2025-01-10T08:55:24.000Z,12.969861,0.572237,3347.399986,-6.633845476,3051.745,145.726225,-105.576225,-126.290032,20.713807,64.189563,46.179217,856.319919
2025-01-10T08:55:25.000Z,12.973711,0.632636,3340.766147,-6.633828997,3051.738,145.708994,-105.558994,-126.290032,20.731037,64.134538,46.127649,856.298949
2025-01-10T08:55:26.000Z,12.977560,0.693157,3334.132328,-6.633804992,3051.727,145.691729,-105.541729,-126.290032,20.748302,64.079498,46.076269,856.277963
2025-01-10T08:55:27.000Z,12.981407,0.753802,3327.498537,-6.633773419,3051.712,145.674430,-105.524430,-126.290032,20.765602,64.024441,46.025074,856.256963
2025-01-10T08:55:28.000Z,12.985253,0.814570,3320.864781,-6.633734225,3051.694,145.657096,-105.507096,-126.290032,20.782935,63.969368,45.974063,856.235946
2025-01-10T08:55:29.000Z,12.989098,0.875463,3314.231069,-6.633820828,3051.734,145.639728,-105.489728,-126.290032,20.800303,63.914280,45.923237,856.214915
2025-01-10T08:55:30.000Z,12.992941,0.936483,3307.597140,-6.633766256,3051.709,145.622325,-105.472325,-126.290032,20.817707,63.859174,45.872590,856.193868
2025-01-10T08:55:31.000Z,12.996783,0.997627,3300.963536,-6.633570474,3051.619,145.604887,-105.454887,-126.290032,20.835144,63.804055,45.822127,856.172806
2025-01-10T08:55:32.000Z,13.000623,1.058897,3294.329999,-6.633500353,3051.586,145.587415,-105.437415,-126.290032,20.852617,63.748920,45.771844,856.151729
2025-01-10T08:55:33.000Z,13.004462,1.120295,3287.696536,-6.633422363,3051.551,145.569907,-105.419907,-126.290032,20.870125,63.693770,45.721741,856.130637
2025-01-10T08:55:34.000Z,13.008300,1.181821,3281.063154,-6.633336464,3051.511,145.552364,-105.402364,-126.290032,20.887667,63.638605,45.671815,856.109530
2025-01-10T08:55:35.000Z,13.012136,1.243476,3274.429863,-6.633242611,3051.468,145.534786,-105.384786,-126.290032,20.905245,63.583425,45.622066,856.088408
2025-01-10T08:55:36.000Z,13.015971,1.305261,3267.796669,-6.633274191,3051.482,145.517173,-105.367173,-126.290032,20.922858,63.528230,45.572493,856.067271
2025-01-10T08:55:37.000Z,13.019805,1.367179,3261.163314,-6.633164289,3051.432,145.499524,-105.349524,-126.290032,20.940508,63.473017,45.523094,856.046119
2025-01-10T08:55:38.000Z,13.023637,1.429226,3254.530340,-6.632912830,3051.316,145.481839,-105.331839,-126.290032,20.958192,63.417792,45.473869,856.024953
2025-01-10T08:55:39.000Z,13.027468,1.491406,3247.897489,-6.632786662,3051.258,145.464119,-105.314119,-126.290032,20.975913,63.362553,45.424818,856.003772
2025-01-10T08:55:40.000Z,13.031297,1.553718,3241.264767,-6.632652284,3051.196,145.446363,-105.296363,-126.290032,20.993669,63.307298,45.375938,855.982577
2025-01-10T08:55:41.000Z,13.035126,1.616164,3234.632184,-6.632509636,3051.131,145.428571,-105.278571,-126.290032,21.011461,63.252029,45.327229,855.961367
2025-01-10T08:55:42.000Z,13.038953,1.678744,3227.999748,-6.632358673,3051.061,145.410742,-105.260742,-126.290032,21.029289,63.196746,45.278690,855.940142
2025-01-10T08:55:43.000Z,13.042778,1.741460,3221.367467,-6.632199346,3050.988,145.392878,-105.242878,-126.290032,21.047154,63.141448,45.230320,855.918904
2025-01-10T08:55:44.000Z,13.046602,1.804312,3214.735349,-6.632165013,3050.972,145.374977,-105.224977,-126.290032,21.065054,63.086136,45.182117,855.897651
2025-01-10T08:55:45.000Z,13.050426,1.867304,3208.103137,-6.631988773,3050.891,145.357039,-105.207039,-126.290032,21.082993,63.030807,45.134079,855.876383
2025-01-10T08:55:46.000Z,13.054247,1.930432,3201.471371,-6.631670603,3050.745,145.339065,-105.189065,-126.290032,21.100967,62.975466,45.086208,855.855101
2025-01-10T08:55:47.000Z,13.058068,1.993698,3194.839795,-6.631477257,3050.656,145.321054,-105.171054,-126.290032,21.118977,62.920111,45.038502,855.833806
2025-01-10T08:55:48.000Z,13.061887,2.057104,3188.208417,-6.631275254,3050.563,145.303007,-105.153007,-126.290032,21.137025,62.864743,44.990960,855.812496
2025-01-10T08:55:49.000Z,13.065705,2.120651,3181.577245,-6.631064557,3050.466,145.284922,-105.134922,-126.290032,21.155110,62.809360,44.943581,855.791173
2025-01-10T08:55:50.000Z,13.069522,2.184339,3174.946288,-6.630845101,3050.365,145.266800,-105.116800,-126.290032,21.173231,62.753964,44.896364,855.769836
2025-01-10T08:55:51.000Z,13.073338,2.248169,3168.315555,-6.630750211,3050.321,145.248641,-105.098641,-126.290032,21.191390,62.698553,44.849307,855.748485
2025-01-10T08:55:52.000Z,13.077152,2.312145,3161.684787,-6.630513056,3050.212,145.230444,-105.080444,-126.290032,21.209588,62.643127,44.802409,855.727119
2025-01-10T08:55:53.000Z,13.080965,2.376262,3155.054529,-6.630133589,3050.038,145.212210,-105.062210,-126.290032,21.227822,62.587690,44.755671,855.705740
2025-01-10T08:55:54.000Z,13.084777,2.440525,3148.424520,-6.629878507,3049.920,145.193938,-105.043938,-126.290032,21.246093,62.532239,44.709092,855.684348
2025-01-10T08:55:55.000Z,13.088588,2.504934,3141.794772,-6.629614357,3049.799,145.175629,-105.025629,-126.290032,21.264403,62.476774,44.662669,855.662942
2025-01-10T08:55:56.000Z,13.092397,2.569489,3135.165292,-6.629341106,3049.673,145.157281,-105.007281,-126.290032,21.282750,62.421296,44.616403,855.641523
2025-01-10T08:55:57.000Z,13.096206,2.634192,3128.536089,-6.629058675,3049.543,145.138896,-104.988896,-126.290032,21.301136,62.365805,44.570293,855.620090
2025-01-10T08:55:58.000Z,13.100013,2.699044,3121.907174,-6.628900337,3049.470,145.120472,-104.970472,-126.290032,21.319559,62.310301,44.524336,855.598644
2025-01-10T08:55:59.000Z,13.103819,2.764048,3115.278289,-6.628599354,3049.332,145.102010,-104.952010,-126.290032,21.338022,62.254781,44.478532,855.577184
2025-01-10T08:56:00.000Z,13.107624,2.829200,3108.649975,-6.628155657,3049.128,145.083509,-104.933509,-126.290032,21.356523,62.199250,44.432882,855.555712
2025-01-10T08:56:01.000Z,13.111428,2.894504,3102.021977,-6.627835875,3048.981,145.064970,-104.914970,-126.290032,21.375062,62.143707,44.387383,855.534226
